name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,country,continent
Aachen,1,Valid,L5,21,Fell,1880,50.775,6.08333,"(50.775000, 6.083330)",Germany,Europe
Aarhus,2,Valid,H6,720,Fell,1951,56.18333,10.23333,"(56.183330, 10.233330)",Denmark,Europe
Abee,6,Valid,EH4,107000,Fell,1952,54.21667,-113,"(54.216670, -113.000000)",Canada,Americas
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976,16.88333,-99.9,"(16.883330, -99.900000)",Mexico,Americas
Achiras,370,Valid,L6,780,Fell,1902,-33.16667,-64.95,"(-33.166670, -64.950000)",Argentina,Americas
Adhi Kot,379,Valid,EH4,4239,Fell,1919,32.1,71.8,"(32.100000, 71.800000)",Pakistan,Asia
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,1949,44.83333,95.16667,"(44.833330, 95.166670)",Mongolia,Asia
Agen,392,Valid,H5,30000,Fell,1814,44.21667,0.61667,"(44.216670, 0.616670)",France,Europe
Aguada,398,Valid,L6,1620,Fell,1930,-31.6,-65.23333,"(-31.600000, -65.233330)",Argentina,Americas
Aguila Blanca,417,Valid,L,1440,Fell,1920,-30.86667,-64.55,"(-30.866670, -64.550000)",Argentina,Americas
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974,16.39806,-9.57028,"(16.398060, -9.570280)",Mauritania,Africa
Aïr,424,Valid,L6,24000,Fell,1925,19.08333,8.38333,"(19.083330, 8.383330)",Niger,Africa
Aire-sur-la-Lys,425,Valid,Unknown,22431.49853706322,Fell,1769,50.66667,2.33333,"(50.666670, 2.333330)",France,Europe
Akaba,426,Valid,L6,779,Fell,1949,29.51667,35.05,"(29.516670, 35.050000)",Jordan,Asia
Akbarpur,427,Valid,H4,1800,Fell,1838,29.71667,77.95,"(29.716670, 77.950000)",India,Asia
Akwanga,432,Valid,H,3000,Fell,1959,8.91667,8.43333,"(8.916670, 8.433330)",Nigeria,Africa
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981,39.91667,42.81667,"(39.916670, 42.816670)",Türkiye,Asia
Al Rais,446,Valid,CR2-an,160,Fell,1957,24.41667,39.51667,"(24.416670, 39.516670)",Saudi Arabia,Asia
Al Zarnkh,447,Valid,LL5,700,Fell,2001,13.66033,28.96,"(13.660330, 28.960000)",Sudan,Africa
Alais,448,Valid,CI1,6000,Fell,1806,44.11667,4.08333,"(44.116670, 4.083330)",France,Europe
Albareto,453,Valid,L/LL4,2000,Fell,1766,44.65,11.01667,"(44.650000, 11.016670)",Italy,Europe
Alberta,454,Valid,L,625,Fell,1949,2,22.66667,"(2.000000, 22.666670)",DR Congo,Africa
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.821330, 6.015330)",France,Europe
Aldsworth,461,Valid,LL5,700,Fell,1835,51.78333,-1.78333,"(51.783330, -1.783330)",United Kingdom,Europe
Aleppo,462,Valid,L6,3200,Fell,1873,36.23333,37.13333,"(36.233330, 37.133330)",Syria,Asia
Alessandria,463,Valid,H5,908,Fell,1860,44.88333,8.75,"(44.883330, 8.750000)",Italy,Europe
Alexandrovsky,465,Valid,H4,9251,Fell,1900,50.95,31.81667,"(50.950000, 31.816670)",Ukraine,Europe
Alfianello,466,Valid,L6,228000,Fell,1883,45.26667,10.15,"(45.266670, 10.150000)",Italy,Europe
Allegan,2276,Valid,H5,32000,Fell,1899,42.53333,-85.88333,"(42.533330, -85.883330)",United States,Americas
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667,"(26.966670, -105.316670)",Mexico,Americas
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,2008,20.74575,32.41275,"(20.745750, 32.412750)",Sudan,Africa
Alta'ameem,2284,Valid,LL5,6000,Fell,1977,35.27333,44.21556,"(35.273330, 44.215560)",Iraq,Asia
Ambapur Nagla,2290,Valid,H5,6400,Fell,1895,27.66667,78.25,"(27.666670, 78.250000)",India,Asia
Andhara,2294,Valid,Stone-uncl,2700,Fell,1880,26.58333,85.56667,"(26.583330, 85.566670)",India,Asia
Andover,2295,Valid,L6,3200,Fell,1898,44.61667,-70.75,"(44.616670, -70.750000)",United States,Americas
Andreevka,2296,Valid,L3,600,Fell,1969,48.7,37.5,"(48.700000, 37.500000)",Ukraine,Europe
Andura,2298,Valid,H6,17900,Fell,1939,20.88333,76.86667,"(20.883330, 76.866670)",India,Asia
Angers,2301,Valid,L6,22431.49853706322,Fell,1822,47.46667,-0.55,"(47.466670, -0.550000)",France,Europe
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,1869,-22.96667,-44.31667,"(-22.966670, -44.316670)",France,Europe
Ankober,2304,Valid,H4,6500,Fell,1942,9.53333,39.71667,"(9.533330, 39.716670)",Ethiopia,Africa
Anlong,2305,Valid,H5,2500,Fell,1971,25.15,105.18333,"(25.150000, 105.183330)",China,Asia
Aomori,2313,Valid,L6,320,Fell,1984,40.81056,140.78556,"(40.810560, 140.785560)",Japan,Asia
Appley Bridge,2318,Valid,LL6,15000,Fell,1914,53.58333,-2.71667,"(53.583330, -2.716670)",United Kingdom,Europe
Apt,2320,Valid,L6,3200,Fell,1803,43.86667,5.38333,"(43.866670, 5.383330)",France,Europe
Arbol Solo,2325,Valid,H5,810,Fell,1954,-33,-66,"(-33.000000, -66.000000)",Argentina,Americas
Archie,2329,Valid,H6,5070,Fell,1932,38.5,-94.3,"(38.500000, -94.300000)",United States,Americas
Arroyo Aguiar,2340,Valid,H5,7450,Fell,1950,-31.41667,-60.66667,"(-31.416670, -60.666670)",Argentina,Americas
Asco,2345,Valid,H6,41,Fell,1805,42.45,9.03333,"(42.450000, 9.033330)",France,Europe
Ash Creek,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805000, -97.010000)",United States,Americas
Ashdon,2346,Valid,L6,1300,Fell,1923,52.05,0.3,"(52.050000, 0.300000)",United Kingdom,Europe
Assisi,2353,Valid,H5,2000,Fell,1886,43.03333,12.55,"(43.033330, 12.550000)",Italy,Europe
Atarra,4883,Valid,L4,1280,Fell,1920,25.25417,80.625,"(25.254170, 80.625000)",India,Asia
Atemajac,4884,Valid,L6,94.2,Fell,1896,20.06667,-103.66667,"(20.066670, -103.666670)",Mexico,Americas
Athens,4885,Valid,LL6,265,Fell,1933,34.75,-87,"(34.750000, -87.000000)",United States,Americas
Atoka,4888,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,"(34.316670, -96.150000)",United States,Americas
Aubres,4893,Valid,Aubrite,800,Fell,1836,44.38333,5.16667,"(44.383330, 5.166670)",France,Europe
Aumale,4899,Valid,L6,50000,Fell,1865,36.16667,3.66667,"(36.166670, 3.666670)",Algeria,Africa
Aumieres,4900,Valid,L6,2000,Fell,1842,44.33333,3.23333,"(44.333330, 3.233330)",France,Europe
Ausson,4903,Valid,L5,50000,Fell,1858,43.08333,0.58333,"(43.083330, 0.583330)",France,Europe
Avanhandava,4905,Valid,H4,9330,Fell,1952,-21.46028,-49.95083,"(-21.460280, -49.950830)",Brazil,Americas
Avce,4906,Valid,"Iron, IIAB",1230,Fell,1908,46,13.5,"(46.000000, 13.500000)",Slovenia,Europe
Avilez,4907,Valid,H,146,Fell,1855,25,-103.5,"(25.000000, -103.500000)",Mexico,Americas
Awere,4910,Valid,L4,134,Fell,1968,2.71667,32.83333,"(2.716670, 32.833330)",Uganda,Africa
Aztec,4913,Valid,L6,2830,Fell,1938,36.8,-108,"(36.800000, -108.000000)",United States,Americas
Bachmut,4917,Valid,L6,18000,Fell,1814,48.6,38,"(48.600000, 38.000000)",Ukraine,Europe
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,"(28.483330, 78.500000)",India,Asia
Bald Mountain,4925,Valid,L4,3700,Fell,1929,35.96667,-82.48333,"(35.966670, -82.483330)",United States,Americas
Baldwyn,4926,Valid,L6,345,Fell,1922,34.5,-88.66667,"(34.500000, -88.666670)",United States,Americas
Bali,4928,Valid,CV3,1000,Fell,1907,5.38333,16.38333,"(5.383330, 16.383330)",Central African Republic,Africa
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,"(16.666670, 101.183330)",Thailand,Asia
Bandong,4935,Valid,LL6,11500,Fell,1871,-6.91667,107.6,"(-6.916670, 107.600000)",Indonesia,Asia
Bansur,4936,Valid,L6,15000,Fell,1892,27.7,76.33333,"(27.700000, 76.333330)",India,Asia
Banswal,4937,Valid,L5,14,Fell,1913,30.4,78.2,"(30.400000, 78.200000)",India,Asia
Banten,4938,Valid,CM2,629,Fell,1933,-6.33333,106,"(-6.333330, 106.000000)",Indonesia,Asia
Barbotan,4942,Valid,H5,6400,Fell,1790,43.95,-0.05,"(43.950000, -0.050000)",France,Europe
Barcelona (stone),4944,Valid,OC,22431.49853706322,Fell,1704,41.36667,2.16667,"(41.366670, 2.166670)",Spain,Europe
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,1842,42.38333,-2.5,"(42.383330, -2.500000)",Spain,Europe
Barnaul,4947,Valid,H5,23.2,Fell,1904,52.73333,84.08333,"(52.733330, 84.083330)",Russia,Europe
Barntrup,4948,Valid,LL4,17,Fell,1886,52,9.1,"(52.000000, 9.100000)",Germany,Europe
Baroti,4949,Valid,L6,4500,Fell,1910,31.61667,76.8,"(31.616670, 76.800000)",India,Asia
Barwell,4954,Valid,L5,44000,Fell,1965,52.56528,-1.33972,"(52.565280, -1.339720)",United Kingdom,Europe
Bassikounou,44876,Valid,H5,29560,Fell,2006,15.78333,-5.9,"(15.783330, -5.900000)",Mauritania,Africa
Baszkówka,4957,Valid,L5,15500,Fell,1994,52.03333,20.93583,"(52.033330, 20.935830)",Poland,Europe
Bath,4974,Valid,H4,21000,Fell,1892,45.41667,-98.31667,"(45.416670, -98.316670)",United States,Americas
Bath Furnace,4975,Valid,L6,86000,Fell,1902,38.25,-83.75,"(38.250000, -83.750000)",United States,Americas
Battle Mountain,56133,Valid,L6,2900,Fell,2012,40.66813,-117.18913,"(40.668130, -117.189130)",United States,Americas
Bawku,4976,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,"(11.083330, -0.183330)",Ghana,Africa
Baxter,4977,Valid,L6,611,Fell,1916,36.75,-93.5,"(36.750000, -93.500000)",United States,Americas
Beardsley,4984,Valid,H5,16000,Fell,1929,39.8,-101.2,"(39.800000, -101.200000)",United States,Americas
Beaver Creek,4986,Valid,H5,14000,Fell,1893,51.16667,-117.33333,"(51.166670, -117.333330)",Canada,Americas
Beddgelert,4993,Valid,H5,794,Fell,1949,53.01667,-4.1,"(53.016670, -4.100000)",United Kingdom,Europe
Bells,5005,Valid,C2-ung,375,Fell,1961,33.6,-96.46667,"(33.600000, -96.466670)",United States,Americas
Belville,5009,Valid,OC,22431.49853706322,Fell,1937,-32.33333,-64.86667,"(-32.333330, -64.866670)",Argentina,Americas
Benares (a),5011,Valid,LL4,3700,Fell,1798,25.36667,82.91667,"(25.366670, 82.916670)",India,Asia
Benguerir,30443,Valid,LL6,25000,Fell,2004,32.25,-8.15,"(32.250000, -8.150000)",Morocco,Africa
Beni M'hira,5018,Valid,L6,19000,Fell,2001,32.86667,10.8,"(32.866670, 10.800000)",Tunisia,Africa
Benld,5021,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.083330, -89.150000)",United States,Americas
Benoni,5023,Valid,H6,3880,Fell,1943,-26.16667,28.41667,"(-26.166670, 28.416670)",South Africa,Africa
Bensour,5024,Valid,LL6,45000,Fell,2002,30,-7,"(30.000000, -7.000000)",Morocco,Africa
Benton,5026,Valid,LL6,2840,Fell,1949,45.95,-67.55,"(45.950000, -67.550000)",Canada,Americas
Berduc,48975,Valid,L6,270,Fell,2008,-31.91,-58.32833,"(-31.910000, -58.328330)",Argentina,Americas
Béréba,5028,Valid,Eucrite-mmict,18000,Fell,1924,11.65,-3.65,"(11.650000, -3.650000)",Burkina Faso,Africa
Berlanguillas,5029,Valid,L6,1440,Fell,1811,41.68333,-3.8,"(41.683330, -3.800000)",Spain,Europe
Berthoud,47355,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,"(40.305830, -105.023250)",United States,Americas
Bethlehem,5032,Valid,H,13.9,Fell,1859,42.53333,-73.83333,"(42.533330, -73.833330)",United States,Americas
Beuste,5034,Valid,L5,2000,Fell,1859,43.21667,-0.23333,"(43.216670, -0.233330)",France,Europe
Beyrout,5035,Valid,LL3.8,1100,Fell,1921,33.88333,35.5,"(33.883330, 35.500000)",Lebanon,Asia
Bhagur,5037,Valid,L6,18,Fell,1877,20.88333,74.83333,"(20.883330, 74.833330)",India,Asia
Bhawad,36591,Valid,LL6,678,Fell,2002,26.50833,73.11528,"(26.508330, 73.115280)",India,Asia
Bherai,5039,Valid,L6,100,Fell,1893,20.83333,71.46667,"(20.833330, 71.466670)",France,Europe
Bhola,5040,Valid,LL3-6,1047,Fell,1940,22.68333,90.65,"(22.683330, 90.650000)",Bangladesh,Asia
Bholghati,5041,Valid,Howardite,2500,Fell,1905,22.08333,86.9,"(22.083330, 86.900000)",India,Asia
Bialystok,5042,Valid,Eucrite-pmict,4000,Fell,1827,53.1,23.2,"(53.100000, 23.200000)",Poland,Europe
Bielokrynitschie,5043,Valid,H4,1900,Fell,1887,50.13333,27.16667,"(50.133330, 27.166670)",Ukraine,Europe
Bilanga,5045,Valid,Diogenite,25000,Fell,1999,12.45,-0.08333,"(12.450000, -0.083330)",Burkina Faso,Africa
Binningup,5051,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.156390, 115.676390)",France,Europe
Birni N'konni,5056,Valid,H4,560,Fell,1923,13.76667,5.3,"(13.766670, 5.300000)",Nigeria,Africa
Bishopville,5059,Valid,Aubrite,6000,Fell,1843,34.16667,-80.28333,"(34.166670, -80.283330)",United States,Americas
Bishunpur,5060,Valid,LL3.15,1039,Fell,1895,25.38333,82.6,"(25.383330, 82.600000)",India,Asia
Bjelaja Zerkov,5063,Valid,H6,1850,Fell,1796,49.78333,30.16667,"(49.783330, 30.166670)",Ukraine,Europe
Bjurböle,5064,Valid,L/LL4,330000,Fell,1899,60.4,25.8,"(60.400000, 25.800000)",Finland,Europe
Black Moshannan Park,5065,Valid,L5,705,Fell,1941,40.91667,-78.08333,"(40.916670, -78.083330)",United States,Americas
Blackwell,5068,Valid,L5,2381,Fell,1906,36.83333,-97.33333,"(36.833330, -97.333330)",United States,Americas
Blanket,5071,Valid,L6,5100,Fell,1909,31.83333,-98.83333,"(31.833330, -98.833330)",United States,Americas
Blansko,5072,Valid,H6,470,Fell,1833,49.36667,16.63333,"(49.366670, 16.633330)",Czechia,Europe
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.480000, -89.004170)",United States,Americas
Bo Xian,5090,Valid,LL3.9,7500,Fell,1977,33.83333,115.83333,"(33.833330, 115.833330)",China,Asia
Bocas,5093,Valid,L6,56,Fell,1804,23,-102,"(23.000000, -102.000000)",Mexico,Americas
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7,"(12.500000, 0.700000)",Burkina Faso,Africa
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,1916,44.55,131.63333,"(44.550000, 131.633330)",Russia,Europe
Borgo San Donino,5110,Valid,LL6,1676,Fell,1808,44.86667,10.05,"(44.866670, 10.050000)",Italy,Europe
Bori,5111,Valid,L6,8600,Fell,1894,21.95,78.03333,"(21.950000, 78.033330)",India,Asia
Boriskino,5112,Valid,CM2,1342,Fell,1930,54.23333,52.48333,"(54.233330, 52.483330)",Russia,Europe
Borkut,5113,Valid,L5,7000,Fell,1852,48.15,24.28333,"(48.150000, 24.283330)",Ukraine,Europe
Borodino,5114,Valid,H5,500,Fell,1812,55.46667,35.86667,"(55.466670, 35.866670)",Russia,Europe
Botschetschki,5117,Valid,L4,614,Fell,1823,51.33333,33.88333,"(51.333330, 33.883330)",Ukraine,Europe
Boumdeid (2003),57168,Valid,L6,190,Fell,2003,17.71067,-11.3715,"(17.710670, -11.371500)",Mauritania,Africa
Boumdeid (2011),57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.174930, -11.341330)",Mauritania,Africa
Bovedy,5121,Valid,L3,5460,Fell,1969,54.56667,-6.33333,"(54.566670, -6.333330)",United Kingdom,Europe
Bradford Woods,5128,Valid,L,762,Fell,1886,40.5,-80.08333,"(40.500000, -80.083330)",United States,Americas
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,1847,50.6,16.3,"(50.600000, 16.300000)",Czechia,Europe
Breitscheid,5134,Valid,H5,1500,Fell,1956,50.66694,8.18361,"(50.666940, 8.183610)",Germany,Europe
Bremervörde,5135,Valid,H/L3.9,7250,Fell,1855,53.4,9.1,"(53.400000, 9.100000)",Germany,Europe
Brient,5140,Valid,Eucrite-pmict,219,Fell,1933,52.13333,59.31667,"(52.133330, 59.316670)",Russia,Europe
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.9,-112.88333,"(53.900000, -112.883330)",Canada,Americas
Bukhara,30448,Valid,CV3,5300,Fell,2001,39.77978,64.60035,"(39.779780, 64.600350)",Uzbekistan,Asia
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,2007,-31.35,129.19,"(-31.350000, 129.190000)",Australia,Oceania
Bununu,5165,Valid,Howardite,357,Fell,1942,10.01667,9.58333,"(10.016670, 9.583330)",Nigeria,Africa
Bur-Gheluai,5169,Valid,H5,120000,Fell,1919,5,48,"(5.000000, 48.000000)",Somalia,Africa
Burnwell,5175,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,"(37.621940, -82.237220)",United States,Americas
Bursa,5177,Valid,L6,25000,Fell,1946,40.2,29.23333,"(40.200000, 29.233330)",Türkiye,Asia
Buschhof,5178,Valid,L6,5000,Fell,1863,46.45,25.78333,"(46.450000, 25.783330)",Romania,Europe
Bustee,5181,Valid,Aubrite,1500,Fell,1852,26.78333,82.83333,"(26.783330, 82.833330)",India,Asia
Butsura,5183,Valid,H6,29000,Fell,1861,27.08333,84.08333,"(27.083330, 84.083330)",India,Asia
Buzzard Coulee,48654,Valid,H4,41000,Fell,2008,52.996,-109.84817,"(52.996000, -109.848170)",Canada,Americas
Cabezo de Mayo,5185,Valid,L/LL6,25000,Fell,1870,37.98333,-1.16667,"(37.983330, -1.166670)",Spain,Europe
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,1886,35.5,-93.5,"(35.500000, -93.500000)",United States,Americas
Cacak,5187,Valid,OC,212,Fell,1919,43.83889,20.33333,"(43.838890, 20.333330)",Serbia,Europe
Cali,45976,Valid,H/L4,478,Fell,2007,3.405,-76.51,"(3.405000, -76.510000)",Colombia,Americas
Calivo,5200,Valid,Stone-uncl,2400,Fell,1916,11.75,122.33333,"(11.750000, 122.333330)",France,Europe
Campos Sales,5249,Valid,L5,23680,Fell,1991,-7.03333,-40.16667,"(-7.033330, -40.166670)",Brazil,Americas
Çanakkale,5250,Valid,L6,4000,Fell,1964,39.8,26.6,"(39.800000, 26.600000)",Türkiye,Asia
Cañellas,5251,Valid,H4,945,Fell,1861,41.25,1.66667,"(41.250000, 1.666670)",Spain,Europe
Cangas de Onis,5252,Valid,H5,34000,Fell,1866,43.38333,-5.15,"(43.383330, -5.150000)",Spain,Europe
Canon City,5253,Valid,H6,1400,Fell,1973,38.47028,-105.24139,"(38.470280, -105.241390)",United States,Americas
Cape Girardeau,5260,Valid,H6,2300,Fell,1846,37.26667,-89.58333,"(37.266670, -89.583330)",United States,Americas
Capilla del Monte,5264,Valid,H6,750,Fell,1934,-30.88333,-64.55,"(-30.883330, -64.550000)",Argentina,Americas
Carancas,45817,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,"(-16.664440, -69.043890)",Peru,Americas
Caratash,5265,Valid,LL6,8,Fell,1902,38.5,27,"(38.500000, 27.000000)",Türkiye,Asia
Castalia,5291,Valid,H5,7300,Fell,1874,36.08333,-78.06667,"(36.083330, -78.066670)",United States,Americas
Castel Berardenga,5292,Valid,Stone-uncl,22431.49853706322,Fell,1791,43.35,11.5,"(43.350000, 11.500000)",Italy,Europe
Castine,5293,Valid,L6,94,Fell,1848,44.38333,-68.75,"(44.383330, -68.750000)",United States,Americas
Castrovillari,5295,Valid,Stone-uncl,15000,Fell,1583,39.8,16.2,"(39.800000, 16.200000)",Italy,Europe
Caswell County,5296,Valid,OC,1360,Fell,1810,36.5,-79.25,"(36.500000, -79.250000)",United States,Americas
Ceniceros,5306,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.466670, -105.233330)",Mexico,Americas
Centerville,5307,Valid,H5,45.6,Fell,1956,43.2,-96.91667,"(43.200000, -96.916670)",United States,Americas
Cereseto,5308,Valid,H5,6460,Fell,1840,45.08333,8.3,"(45.083330, 8.300000)",Italy,Europe
Chadong,5313,Valid,L6,3700,Fell,1998,28.53333,109.31667,"(28.533330, 109.316670)",China,Asia
Chail,5314,Valid,H6,0.5,Fell,1814,25.36667,81.66667,"(25.366670, 81.666670)",India,Asia
Chainpur,5315,Valid,LL3.4,8200,Fell,1907,25.85,83.48333,"(25.850000, 83.483330)",India,Asia
Chajari,5316,Valid,L5,18300,Fell,1933,-30.78333,-58.05,"(-30.783330, -58.050000)",Argentina,Americas
Chandakapur,5320,Valid,L5,8800,Fell,1838,20.26667,76.01667,"(20.266670, 76.016670)",India,Asia
Chandpur,5321,Valid,L6,1100,Fell,1885,27.28333,79.05,"(27.283330, 79.050000)",India,Asia
Changde,5322,Valid,H5,1810,Fell,1977,29.08333,111.75,"(29.083330, 111.750000)",China,Asia
Chantonnay,5325,Valid,L6,31500,Fell,1812,46.68333,1.05,"(46.683330, 1.050000)",France,Europe
Charlotte,5328,Valid,"Iron, IVA",4300,Fell,1835,36.16667,-87.33333,"(36.166670, -87.333330)",United States,Americas
Charsonville,5329,Valid,H6,27000,Fell,1810,47.93333,1.56667,"(47.933330, 1.566670)",France,Europe
Charwallas,5330,Valid,H6,12000,Fell,1834,29.48333,75.5,"(29.483330, 75.500000)",India,Asia
Chassigny,5331,Valid,Martian (chassignite),4000,Fell,1815,47.71667,5.36667,"(47.716670, 5.366670)",France,Europe
Château-Renard,5332,Valid,L6,30000,Fell,1841,47.93333,2.91667,"(47.933330, 2.916670)",France,Europe
Chaves,5334,Valid,Howardite,2945,Fell,1925,41.93333,-7.46667,"(41.933330, -7.466670)",Spain,Europe
Chela,5338,Valid,H4,2936,Fell,1988,-3.66667,32.5,"(-3.666670, 32.500000)",Tanzania,Africa
Chelyabinsk,57165,Valid,LL5,100000,Fell,2013,54.81667,61.11667,"(54.816670, 61.116670)",Russia,Europe
Chergach ,47347,Valid,H5,100000,Fell,2007,23.69639,-5.01472,"(23.696390, -5.014720)",Mali,Africa
Chernyi Bor,5339,Valid,H4,6000,Fell,1964,53.7,30.1,"(53.700000, 30.100000)",Belarus,Europe
Cherokee Springs,5340,Valid,LL6,8400,Fell,1933,35.03333,-81.88333,"(35.033330, -81.883330)",United States,Americas
Chervettaz,5341,Valid,L5,705,Fell,1901,46.55,6.81667,"(46.550000, 6.816670)",Switzerland,Europe
Chervony Kut,5342,Valid,Eucrite-mmict,1700,Fell,1939,50.83333,34,"(50.833330, 34.000000)",Ukraine,Europe
Chetrinahatti,5344,Valid,Stone-uncl,72,Fell,1880,14.5,76.5,"(14.500000, 76.500000)",India,Asia
Chiang Khan,5345,Valid,H6,367,Fell,1981,17.9,101.63333,"(17.900000, 101.633330)",Laos,Asia
Chicora,5349,Valid,LL6,303,Fell,1938,40.93333,-79.73333,"(40.933330, -79.733330)",United States,Americas
Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,1988,-10.05944,33.395,"(-10.059440, 33.395000)",Malawi,Africa
Chitado,5356,Valid,L6,22431.49853706322,Fell,1966,-17.35,13.96667,"(-17.350000, 13.966670)",Angola,Africa
Chitenay,5357,Valid,L6,4000,Fell,1978,47.47083,0.97667,"(47.470830, 0.976670)",France,Europe
Cilimus,5364,Valid,L5,1600,Fell,1979,-6.95,108.1,"(-6.950000, 108.100000)",Indonesia,Asia
Claxton,5374,Valid,L6,1455,Fell,1984,32.1025,-81.87278,"(32.102500, -81.872780)",United States,Americas
Colby (Wisconsin),5395,Valid,L6,104000,Fell,1917,44.9,-90.28333,"(44.900000, -90.283330)",United States,Americas
Cold Bokkeveld,5397,Valid,CM2,5200,Fell,1838,-33.13333,19.38333,"(-33.133330, 19.383330)",South Africa,Africa
Coleman,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778,"(43.761110, -84.507780)",United States,Americas
Collescipoli,5403,Valid,H5,5000,Fell,1890,42.53333,12.61667,"(42.533330, 12.616670)",Italy,Europe
Conquista,5418,Valid,H4,20350,Fell,1965,-19.85,-47.55,"(-19.850000, -47.550000)",Brazil,Americas
Cosina,5451,Valid,H5,1200,Fell,1844,21.16667,-100.86667,"(21.166670, -100.866670)",Mexico,Americas
Cranganore,5465,Valid,L6,1460,Fell,1917,10.2,76.26667,"(10.200000, 76.266670)",India,Asia
Crescent,5470,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,"(35.950000, -97.583330)",United States,Americas
Cronstad,5474,Valid,H5,3650,Fell,1877,-27.7,27.3,"(-27.700000, 27.300000)",South Africa,Africa
Cross Roads,5476,Valid,H5,167,Fell,1892,35.63333,-78.13333,"(35.633330, -78.133330)",United States,Americas
Crumlin,5477,Valid,L5,4255,Fell,1902,54.61667,-6.21667,"(54.616670, -6.216670)",United Kingdom,Europe
Cumberland Falls,5496,Valid,Aubrite,17000,Fell,1919,36.83333,-84.35,"(36.833330, -84.350000)",United States,Americas
Cynthiana,5500,Valid,L/LL4,6000,Fell,1877,38.4,-84.25,"(38.400000, -84.250000)",United States,Americas
Dahmani,5504,Valid,LL6,18000,Fell,1981,35.61667,8.83333,"(35.616670, 8.833330)",Tunisia,Africa
Dandapur,5511,Valid,L6,5650,Fell,1878,26.91667,83.96667,"(26.916670, 83.966670)",India,Asia
Daniel's Kuil,5513,Valid,EL6,1064,Fell,1868,-28.2,24.56667,"(-28.200000, 24.566670)",South Africa,Africa
Danville,5514,Valid,L6,2000,Fell,1868,34.4,-87.06667,"(34.400000, -87.066670)",United States,Americas
Darmstadt,6603,Valid,H5,100,Fell,1804,49.86667,8.65,"(49.866670, 8.650000)",Germany,Europe
Dashoguz,6604,Valid,H5,7000,Fell,1998,41.98444,59.685,"(41.984440, 59.685000)",Turkmenistan,Asia
Daule,51559,Valid,L5,6580,Fell,2008,-1.87089,-79.95756,"(-1.870890, -79.957560)",Ecuador,Americas
De Cewsville,6621,Valid,H6,340,Fell,1887,43,-80,"(43.000000, -80.000000)",Canada,Americas
Deal,6634,Valid,L6,28,Fell,1829,40.25,-74,"(40.250000, -74.000000)",United States,Americas
Delhi,6642,Valid,L5,0.8,Fell,1897,28.56667,77.25,"(28.566670, 77.250000)",India,Asia
Demina,6649,Valid,L6,16400,Fell,1911,51.46667,84.76667,"(51.466670, 84.766670)",Russia,Europe
Denver,6660,Valid,L6,230,Fell,1967,39.7825,-104.93056,"(39.782500, -104.930560)",United States,Americas
Dergaon,6664,Valid,H5,12500,Fell,2001,26.68333,93.86667,"(26.683330, 93.866670)",India,Asia
Desuri,6693,Valid,H6,25400,Fell,1962,25.73333,73.61667,"(25.733330, 73.616670)",India,Asia
Devgaon,6694,Valid,H3.8,12000,Fell,2001,19,81,"(19.000000, 81.000000)",India,Asia
Devri-Khera,6696,Valid,L6,1140,Fell,1994,24.225,76.525,"(24.225000, 76.525000)",India,Asia
Dhajala,6698,Valid,H3.8,45000,Fell,1976,22.37778,71.42722,"(22.377780, 71.427220)",India,Asia
